InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Gender,Age,Amount
537626,21171,BATHROOM METAL SIGN,12,07/12/2010 14:57,1.45,12347,Iceland,Female,20,17.4
542237,22497,SET OF 2 TINS VINTAGE BATHROOM,4,26/01/2011 14:30,4.25,12347,Iceland,Female,20,17
542237,22726,ALARM CLOCK BAKELIKE GREEN,4,26/01/2011 14:30,3.75,12347,Iceland,Female,20,15
542237,21832,CHOCOLATE CALCULATOR,12,26/01/2011 14:30,1.65,12347,Iceland,Female,20,19.8
542237,21154,RED RETROSPOT OVEN GLOVE,10,26/01/2011 14:30,1.25,12347,Iceland,Female,20,12.5
542237,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,26/01/2011 14:30,0.85,12347,Iceland,Female,20,20.4
549222,22699,ROSES REGENCY TEACUP AND SAUCER,6,07/04/2011 10:43,2.95,12347,Iceland,Female,20,17.7
549222,84559A,3D SHEET OF DOG STICKERS,12,07/04/2011 10:43,0.85,12347,Iceland,Female,20,10.2
549222,21975,PACK OF 60 DINOSAUR CAKE CASES,24,07/04/2011 10:43,0.55,12347,Iceland,Female,20,13.2
562032,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,02/08/2011 08:48,4.25,12347,Iceland,Female,20,17
562032,47559B,TEA TIME OVEN GLOVE,10,02/08/2011 08:48,1.25,12347,Iceland,Female,20,12.5
573511,22372,AIRLINE BAG VINTAGE WORLD CHAMPION,4,31/10/2011 12:25,4.25,12347,Iceland,Female,20,17
573511,22374,AIRLINE BAG VINTAGE JET SET RED,8,31/10/2011 12:25,4.25,12347,Iceland,Female,20,34
573511,22727,ALARM CLOCK BAKELIKE RED,12,31/10/2011 12:25,3.75,12347,Iceland,Female,20,45
573511,23162,REGENCY TEA STRAINER,8,31/10/2011 12:25,3.75,12347,Iceland,Female,20,30
573511,47580,TEA TIME DES TEA COSY,6,31/10/2011 12:25,2.55,12347,Iceland,Female,20,15.3
573511,22196,SMALL HEART MEASURING SPOONS,24,31/10/2011 12:25,0.85,12347,Iceland,Female,20,20.4
573511,22492,MINI PAINT SET VINTAGE,36,31/10/2011 12:25,0.65,12347,Iceland,Female,20,23.4
581180,20719,WOODLAND CHARLOTTE BAG,10,07/12/2011 15:52,0.85,12347,Iceland,Female,20,8.5
539318,21977,PACK OF 60 PINK PAISLEY CAKE CASES,120,16/12/2010 19:09,0.42,12348,Finland,Female,20,50.4
548955,23076,ICE CREAM SUNDAE LIP GLOSS,72,05/04/2011 10:47,1.25,12348,Finland,Female,20,90
577609,21411,GINGHAM HEART  DOORSTOP RED,3,21/11/2011 09:51,4.25,12349,Italy,Female,59,12.75
577609,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,21/11/2011 09:51,1.95,12349,Italy,Female,59,19.5
577609,21136,PAINTED METAL PEARS ASSORTED,16,21/11/2011 09:51,1.69,12349,Italy,Female,59,27.04
577609,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,21/11/2011 09:51,1.65,12349,Italy,Female,59,19.8
577609,22556,PLASTERS IN TIN CIRCUS PARADE,12,21/11/2011 09:51,1.65,12349,Italy,Female,59,19.8
577609,22567,20 DOLLY PEGS RETROSPOT,12,21/11/2011 09:51,1.45,12349,Italy,Female,59,17.4
577609,21232,STRAWBERRY CERAMIC TRINKET POT,36,21/11/2011 09:51,1.25,12349,Italy,Female,59,45
577609,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,21/11/2011 09:51,0.83,12349,Italy,Female,59,6.64
543037,22348,TEA BAG PLATE RED RETROSPOT,24,02/02/2011 16:01,0.85,12350,Norway,Male,56,20.4
546869,22784,LANTERN CREAM GAZEBO,3,17/03/2011 16:00,4.95,12352,Norway,Male,45,14.85
C547388,22413,METAL SIGN TAKE IT OR LEAVE IT,-6,22/03/2011 16:07,2.95,12352,Norway,Male,45,-17.7
567505,37495,FAIRY CAKE BIRTHDAY CANDLE SET,4,20/09/2011 14:34,3.75,12352,Norway,Male,45,15
567505,22993,SET OF 4 PANTRY JELLY MOULDS,12,20/09/2011 14:34,1.25,12352,Norway,Male,45,15
574275,22635,CHILDS BREAKFAST SET DOLLY GIRL,2,03/11/2011 14:37,9.95,12352,Norway,Male,45,19.9
553900,37449,CERAMIC CAKE STAND + HANGING CAKES,2,19/05/2011 17:47,9.95,12353,Bahrain,Male,60,19.9
550911,23054,RECYCLED ACAPULCO MAT LAVENDER,2,21/04/2011 13:11,8.25,12354,Spain,Female,37,16.5
550911,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,21/04/2011 13:11,2.95,12354,Spain,Female,37,17.7
550911,21731,RED TOADSTOOL LED NIGHT LIGHT,12,21/04/2011 13:11,1.65,12354,Spain,Female,37,19.8
550911,20675,BLUE POLKADOT BOWL,8,21/04/2011 13:11,1.25,12354,Spain,Female,37,10
550911,20677,PINK POLKADOT BOWL,8,21/04/2011 13:11,1.25,12354,Spain,Female,37,10
550911,21238,RED RETROSPOT CUP,24,21/04/2011 13:11,0.85,12354,Spain,Female,37,20.4
552449,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,6,09/05/2011 13:49,4.25,12355,Bahrain,Female,61,25.5
541430,22423,REGENCY CAKESTAND 3 TIER,16,18/01/2011 09:50,10.95,12356,Portugal,Female,35,175.2
541430,37501,TEA TIME TEA SET IN GIFT BOX,12,18/01/2011 09:50,6.95,12356,Portugal,Female,35,83.4
549435,22698,PINK REGENCY TEACUP AND SAUCER,4,08/04/2011 12:33,2.95,12356,Portugal,Female,35,11.8
549435,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,08/04/2011 12:33,1.25,12356,Portugal,Female,35,15
576895,21843,RED RETROSPOT CAKE STAND,3,17/11/2011 08:40,10.95,12356,Portugal,Female,35,32.85
574740,23341,PINK DINER WALL CLOCK,6,06/11/2011 16:07,8.5,12357,Switzerland,Male,30,51
574740,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8,06/11/2011 16:07,4.95,12357,Switzerland,Male,30,39.6
